2026-04-29T21:03:27.525739+00:00	GET	/api/profiles	400	0.86
2026-04-29T21:03:27.534072+00:00	GET	/api/profiles	400	0.63
2026-04-29T21:03:27.546172+00:00	GET	/api/profiles	401	7.5
2026-04-29T21:03:27.555798+00:00	GET	/api/profiles	401	4.57
2026-04-29T21:03:45.336494+00:00	GET	/auth/github	307	39.01
2026-04-29T21:03:45.391491+00:00	GET	/auth/github	307	45.74
2026-04-29T21:03:45.411942+00:00	GET	/auth/github	307	8.58
2026-04-29T21:03:45.423094+00:00	GET	/auth/github	307	4.3
2026-04-29T21:03:45.435181+00:00	GET	/auth/github	307	4.61
2026-04-29T21:03:45.444944+00:00	GET	/auth/github	307	3.78
2026-04-29T21:03:45.457573+00:00	GET	/auth/github	307	4.54
2026-04-29T21:03:45.467198+00:00	GET	/auth/github	307	3.73
2026-04-29T21:03:45.477673+00:00	GET	/auth/github	307	3.83
2026-04-29T21:03:45.489040+00:00	GET	/auth/github	307	4.5
2026-04-29T21:03:45.502744+00:00	GET	/auth/github	429	4.99
GET	/api/profiles	400	0.78	2026-04-29T21:04:27.155011+00:00
GET	/api/profiles	401	7.91	2026-04-29T21:04:27.177685+00:00
GET	/api/profiles/export	401	8.78	2026-04-29T21:04:27.197193+00:00
GET	/docs	200	36.23	2026-04-29T21:07:14.354746+00:00
GET	/openapi.json	200	838.89	2026-04-29T21:07:21.310430+00:00
GET	/auth/github	500	11.6	2026-04-29T21:08:15.620737+00:00
GET	/favicon.ico	404	3.44	2026-04-29T21:08:15.804288+00:00
GET	/auth/github	500	5.83	2026-04-29T21:09:09.511530+00:00
GET	/auth/github	500	7.98	2026-04-29T21:09:36.851529+00:00
GET	/auth/github	500	19.72	2026-04-29T21:15:13.681311+00:00
GET	/auth/github	500	3.57	2026-04-29T21:15:19.491823+00:00
GET	/auth/github	500	3.5	2026-04-29T21:15:20.294303+00:00
GET	/auth/github	500	14.78	2026-04-29T21:15:20.906826+00:00
GET	/auth/github	500	9.84	2026-04-29T21:15:21.434106+00:00
